"termo";"idioma";"num"
"Bolsonaro";"pt";100
"Haddad";"pt";100
"Boulos";"pt";100
"Bolsonaro";"pt";100
"Micro strategy";"en";100
"Qliksense";"en";100
"Tableau";"en";100
"PowerBI";"en";100
"Spotfire";"en";100
"Spotfire";"pt";100
"Petrobras";"pt";100
"Lula";"pt";100
"Bolsonaro";"pt";100
"Bolsonaro Petrobras";"pt";100
"Bolsonaro";"pt";100
"Petrobras";"pt";100
"Bolsonaro";"pt";100
"Brasil";"pt";100
"Bozo";"pt";100
"Brasileirinhas";"pt";100
"Khalifa";"pt";100
"Barcelona";"es";100
"Sao Paulo";"pt";100
"São Paulo";"pt";100
"Rio de Janeiro";"pt";100
"Bauru";"pt";100
"Lula";"pt";100
"STF";"pt";100
"PUBG";"en";100
"Bloomberg";"en";100
"Milicia";"pt";100
"Milicianos";"pt";100
"Vickns";"pt";100
"Studio";"pt";100
"Planb";"pt";100
"Plans";"pt";100
"Hobbit";"pt";100
"Eiras";"pt";100
"LIXO-LIXOSO";"pt";100
"Playerunknown";"pt";100
"Battlegrounds";"pt";100
"PUBG";"pt";100
"Fortnite";"pt";100
"ApexLegends";"pt";100
"Apex Legends";"pt";100
"CounterStrike";"pt";100
"Counter Strike";"pt";100
"Apex Legends";"pt";100
"Fortnite";"pt";100
"PUBG";"pt";100
"PUBG";"pt";100
"PUBG";"pt";100
"previdencia";"pt";100
"kit gay";"pt";100
"kitgay";"pt";100
"kit gay";"pt";100
"Kitty";"pt";100
"Ditadura";"pt";100
"Botafogo";"pt";100
"Bolsonaro";"pt";100
"Corrupcao";"pt";294
